,State,Year,NO2 Mean,SO2 Mean,O3 Mean,CO Mean,age,sex,val
5091,Texas,2000,16.33133886368159,2.7672539134328358,0.024599505472636816,0.4375377263681592,15-49 years,Both,4.565394739348493
5092,Texas,2000,16.33133886368159,2.7672539134328358,0.024599505472636816,0.4375377263681592,15-49 years,Female,4.1938846254348405
5093,Texas,2000,16.33133886368159,2.7672539134328358,0.024599505472636816,0.4375377263681592,15-49 years,Male,4.925173769434618
5094,Texas,2000,16.33133886368159,2.7672539134328358,0.024599505472636816,0.4375377263681592,50-69 years,Both,77.7237103032892
5095,Texas,2000,16.33133886368159,2.7672539134328358,0.024599505472636816,0.4375377263681592,50-69 years,Female,69.52914377531191
5096,Texas,2000,16.33133886368159,2.7672539134328358,0.024599505472636816,0.4375377263681592,50-69 years,Male,86.49945303786377
5097,Texas,2000,16.33133886368159,2.7672539134328358,0.024599505472636816,0.4375377263681592,70+ years,Both,730.7789390116533
5098,Texas,2000,16.33133886368159,2.7672539134328358,0.024599505472636816,0.4375377263681592,70+ years,Female,649.8053151759334
5099,Texas,2000,16.33133886368159,2.7672539134328358,0.024599505472636816,0.4375377263681592,70+ years,Male,853.6711365601091
5100,Texas,2001,16.242414435620663,1.7383213130300694,0.025968350809560524,0.38709685813415573,0 to 14,Both,2.1875227314800796
5101,Texas,2001,16.242414435620663,1.7383213130300694,0.025968350809560524,0.38709685813415573,0 to 14,Female,1.9773492570844162
5102,Texas,2001,16.242414435620663,1.7383213130300694,0.025968350809560524,0.38709685813415573,0 to 14,Male,2.388290348791758
5103,Texas,2001,16.242414435620663,1.7383213130300694,0.025968350809560524,0.38709685813415573,15-49 years,Both,4.5650436713585165
5104,Texas,2001,16.242414435620663,1.7383213130300694,0.025968350809560524,0.38709685813415573,15-49 years,Female,4.106060989378847
5105,Texas,2001,16.242414435620663,1.7383213130300694,0.025968350809560524,0.38709685813415573,15-49 years,Male,5.0094552238399075
5106,Texas,2001,16.242414435620663,1.7383213130300694,0.025968350809560524,0.38709685813415573,50-69 years,Both,77.0790650240471
5107,Texas,2001,16.242414435620663,1.7383213130300694,0.025968350809560524,0.38709685813415573,50-69 years,Female,68.96993334423355
5108,Texas,2001,16.242414435620663,1.7383213130300694,0.025968350809560524,0.38709685813415573,50-69 years,Male,85.74332441502452
5109,Texas,2001,16.242414435620663,1.7383213130300694,0.025968350809560524,0.38709685813415573,70+ years,Both,735.6966725025655
5110,Texas,2001,16.242414435620663,1.7383213130300694,0.025968350809560524,0.38709685813415573,70+ years,Female,657.277093472879
5111,Texas,2001,16.242414435620663,1.7383213130300694,0.025968350809560524,0.38709685813415573,70+ years,Male,853.4202512727618
5112,Texas,2002,16.093334541832668,0.3681552081673307,0.02880673705179283,0.3425927579681275,0 to 14,Both,2.222864665313036
5113,Texas,2002,16.093334541832668,0.3681552081673307,0.02880673705179283,0.3425927579681275,0 to 14,Female,1.9665978616474593
5114,Texas,2002,16.093334541832668,0.3681552081673307,0.02880673705179283,0.3425927579681275,0 to 14,Male,2.4676716475981744
5115,Texas,2002,16.093334541832668,0.3681552081673307,0.02880673705179283,0.3425927579681275,15-49 years,Both,4.636788230979159
5116,Texas,2002,16.093334541832668,0.3681552081673307,0.02880673705179283,0.3425927579681275,15-49 years,Female,4.256320941588204
5117,Texas,2002,16.093334541832668,0.3681552081673307,0.02880673705179283,0.3425927579681275,15-49 years,Male,5.005256307613452
5118,Texas,2002,16.093334541832668,0.3681552081673307,0.02880673705179283,0.3425927579681275,50-69 years,Both,76.72955587564263
5119,Texas,2002,16.093334541832668,0.3681552081673307,0.02880673705179283,0.3425927579681275,50-69 years,Female,69.10209309973092
5120,Texas,2002,16.093334541832668,0.3681552081673307,0.02880673705179283,0.3425927579681275,50-69 years,Male,84.86664711502348
5121,Texas,2002,16.093334541832668,0.3681552081673307,0.02880673705179283,0.3425927579681275,70+ years,Both,737.6803120963602
5122,Texas,2002,16.093334541832668,0.3681552081673307,0.02880673705179283,0.3425927579681275,70+ years,Female,660.8293152261217
5123,Texas,2002,16.093334541832668,0.3681552081673307,0.02880673705179283,0.3425927579681275,70+ years,Male,851.9236511141187
5124,Texas,2003,15.608571103953148,2.041328666910688,0.027007489019033673,0.46156665739385067,0 to 14,Both,2.2542572028235073
5125,Texas,2003,15.608571103953148,2.041328666910688,0.027007489019033673,0.46156665739385067,0 to 14,Female,1.9722013608779154
5126,Texas,2003,15.608571103953148,2.041328666910688,0.027007489019033673,0.46156665739385067,0 to 14,Male,2.523744516987031
5127,Texas,2003,15.608571103953148,2.041328666910688,0.027007489019033673,0.46156665739385067,15-49 years,Both,4.63758072488573
5128,Texas,2003,15.608571103953148,2.041328666910688,0.027007489019033673,0.46156665739385067,15-49 years,Female,4.326158646729467
5129,Texas,2003,15.608571103953148,2.041328666910688,0.027007489019033673,0.46156665739385067,15-49 years,Male,4.939355576350778
5130,Texas,2003,15.608571103953148,2.041328666910688,0.027007489019033673,0.46156665739385067,50-69 years,Both,75.35377132048882
